제목,내용,조회수,첨부파일명,첨부파일 링크,출처
재난망 첫 단말 KT가 공급···에이엠텔레콤·삼성전자와 협력,"KT가 경찰청 재난안전통신망(재난망) 첫 단말(무전기)을 공급한다. KT가 에이엠텔레콤과 삼성전자 제품을 제안했다. 에이엠텔레콤과 삼성전자는 향후 재난망 단말 공급 사업에서 유리한 고지를 선점하게 됐다. 경찰청은 '재난망 전환을 위한 치안업무용 무선시스템 구축 사업' 우선협상대상자로 KT를 선정했다. KT는 기술점수 85.9821점, 가격점수 9.519점 등 총 95.5011점으로 SK텔레콤(총 95.3607점)에 0.1404점 차이로 앞섰다. 경찰은 전체 재난망 단말기 24만대 중 63%인 15만대를 사용한다. 사업 예산 역시 재난망 전체 단말 구매 예산(약 4000억원) 중 66%인 2650여억원으로 가장 많다. 규모뿐만 아니라 소방, 군, 지자체, 전기, 가스 등 재난 관련 기관 중 가장 먼저 단말을 도입, 레퍼런스가 될 수 있다는 점에서 이통사와 단말 제조사 합종연횡이 치열했다. 이달 3일 첫 입찰이 유찰된 것도 단말 가격을 비롯한 이통사-제조사 간 사전 논의가 마무리되지 않았기 때문으로 알려졌다.",4,,,전자신문
"과기정통부, 6G R&D 전략 공개···다음달 예타 신청",우리나라가 6세대(6G) 이동통신 시장 선점 시동을 건다.과학기술정보통신부는 2028년 6G 상용화를 목표로 내달 '6G 연구개발(R&D)을 위한 예비타당성조사(이하 예타)'를 신청한다. R&D 예산 규모는 약 9700억원으로 예타를 통과하면 2021년 R&D에 착수할 계획이다.6G R&D 예타는 과기정통부 과학기술혁신본부가 기술심사를 맡고 본심사는 과기혁신본부와 한국과학기술기획평가원(KISTEP)이 공동 실시한다.,3,,,전자신문
'5G 로밍'도 세계 최초···SKT 이어 LG U+도 개시,"우리나라가 세계 최초 5세대(5G) 이동통신 상용화에 이어 5G 해외 로밍 서비스도 세계 최초로 시작한다. 5G 가입자는 해외에서 5G 서비스를 그대로 이용할 수 있게 된다. SK텔레콤은 스위스 1위 이통사 스위스콤과 17일 0시부터 세계 최초로 5G 로밍 서비스를 시작한다. 이틀 후인 19일에는 LG유플러스가 핀란드 1위 유무선 통신사 엘리사와 5G 로밍 서비스를 개시한다. 스위스를 방문하는 SK텔레콤 가입자는 5G 로밍을 통해 유튜브, 옥수수 등 스트리밍 서비스뿐만 아니라 증강현실(AR)·가상현실409(VR) 등 다양한 5G 서비스를 국내 못지않은 품질로 이용할 수 있다. SK텔레콤이 출시한 '갤럭시S10 5G' 이용자는 17일 소프트웨어(SW) 업그레이드 후 스위스에서 5G 로밍을 이용할 수 있다.",8,,,전자신문
"[국제]브라질, 5G 화웨이 배제 안 해",브라질이 5세대(5G) 네트워크에서 화웨이를 금지하지 않을 것이라고 밝혔다. 아미우톤 모우랑 브라질 부통령은 16일(현지시간) “브라질에서 화웨이를 제한하지 않을 것”이라며 “브라질은 화웨이와 관계를 중시하고 있으며 앞으로도 좋은 관계로 발전하기를 희망한다”고 밝혔다. 핀토씨 브라질 경제발전청 부청장도 “브라질 5G 구축과 향후 다양한 영역 발전은 중국 경험과 기술을 떼어놓을 수 없을 것”이라고 말했다. 앞서 화웨이는 5월 브라질에서 플래그십 스마트폰 'P30 프로(Pro)'와 'P30 라이트(Lite)'를 출시하고 브라질에 생산 라인을 구축하는 등 브라질 시장 공략에 전력투구하고 있다.,5,,,전자신문
"EU 각료이사회, DSRC 거부 공식 결정···5GAA 환영","유럽연합(EU) 각료이사회(Council of the European Union)가 차량사물통신(V2X) 표준 기술로 근거리전용통신(DSRC, 웨이브) 채택 법안에 반대 의사를 공식화했다.  5세대(5G) 이동통신 기반 자율주행 통신 기술을 개발하는 5GAA504는 기술 중립성 지원에 대한 확고한 신호라며 환영의 뜻을 표시했다. EU 각료이사회는 EU 집행위원회(EC)가 제안, 의회가 통과시킨 DSRC 도입 법안을 거부하기로 공식 결정했다. 앞서 열린 투표에서 28개 회원국 중 독일, 프랑스, 이탈리아 등 21개국이 EC 제안에 반대표를 던졌고 이를 최종 확인한 것이다. 이에 따라 2021년 7월 이후 EU 모든 차량에 DSRC 근간 통신장비 탑재화를 의무화하려던 계획은 백지화됐다. 유럽 각국과 각 기업은 DSRC와 이동통신 기반 V2X(C-V2X) 등 모든 기술 중에서 가장 뛰어난 기술을 선택할 수 있게 됐다. 5GAA는 성명을 내고 “EU각료이사회 결정을 지지한다”며 “교통 효율과 도로 안전을 증진시키는 모든 기술을 아울러 기술 중립성 원칙을 따르는 EU 체계를 지속 옹호할 것”이라고 밝혔다.",4,,,전자신문
"5G폰, 문턱 낮춘다···중저가 출격 준비","삼성전자와 LG전자가 5세대(5G) 스마트폰 문턱을 낮춘다. 준 프리미엄급 성능에 100만원을 넘지 않는 보급형 5G폰을 출시한다. 5G 이용자 증가에 탄력이 붙을 전망이다.   삼성전자가 선보일 보급형 5G폰은 '갤럭시 A90 5G'(SM-A908N)가 유력하다. 하반기 전략형 플래그십 모델인 갤럭시노트10 출시 이후 내놓을 것으로 알려졌다. 5G 모델로 출시되는 갤럭시노트10은 150만원대, 갤럭시A90은 80만~90만원대 출고가 책정이 예상된다. 출시일이 확정되지 않은 갤럭시폴드 5G는 230만~240만원대로 예상된다. 한정 수량의 초고가 모델(갤럭시폴드 5G)과 프리미엄 모델(갤럭시노트10), 보급형 모델(갤럭시A90)로 5G 스마트폰 선택 폭을 넓히는 구조다. 이통사 관계자는 “5G 가입자 확보 경쟁으로 단말기 공시지원금이 높게 책정됐지만 단말 가격 자체에 부담을 느끼는 이용자가 적지 않다”며 “본격적인 5G 가입자 확대를 위해서는 프리미엄 모델 이외에 보급형 단말 출시가 시급하다”고 말했다.",4,,,전자신문
국내에서 5G 단말 국제 인증 획득 가능해진다,"5세대(5G) 이동통신 단말 해외 수출을 위한 국제공인 인증 획득이 국내에서 가능해진다. 3.5㎓ 대역 5G 이동통신 단말에 대한 국제공인 인증시험(GCF) 서비스가 15일부터 한국정보통신기술협회(TTA)를 통해 시행된다. 국내기업이 이동통신 단말을 해외에 수출하려면 유럽 GCF(Global Certification Forum), 북미 PTCR188B(PCS Type Review Board) 등 국제공인 인증시험을 통해 단말 최대출력, 수신감도, 송수신 프로토콜, 방사특성 등 국제규격 적합 테스트를 통과해야 한다. 과학기술정보통신부는 4월 발표한 '5G+ 전략'에서 국제공인 인증시험 제공을 위한 테스트베드를 TTA에 구축, 올해부터 서비스를 제공하기로 한 바 있다. 국내에서 국제공인 인증시험을 제공하면 해외에 가지 않고도 국제인증을 획득할 수 있다. 단말 개발기간을 단축하고, 인증비용을 줄여 제품 경쟁력을 높일 수 있다. 국내 5G 국제공인 인증시험에서는 중소기업 인증비용을 4G 대비 60% 저렴한 가격에 제공한다. TTA 전문인력이 국제공인 인증을 받기 이전 사전 테스트와 문제점 개선을 위한 컨설팅도 무료로 지원한다.",3,,,전자신문
과기정통부-방통위 “망 이용대가 가이드라인 연말까지”,"유영민 과학기술정보통신부 장관이 통신사와 콘텐츠 제공업체(CP)간 망 이용대가 가이드라인을 연말까지 만들겠다고 밝혔다.   이효성 방송통신위원회70 위원장은 페이스북과 방통위 간 행정소송 판결이 망 이용대가 공정성을 확보할 중요한 계기라며 관심을 호소했다. 15일 국회 과학기술정보방송통신위원회(과방위)가 올해 처음 진행한 과기정통부와 방통위 업무보고에서 여야 의원은 망 이용대가 공정성 확보 방안을 확보해야 한다고 강력하게 주문했다. 일본 수출 규제에 대한 미흡한 과기정통부의 미흡한 대응을 질타했다.  유 장관은 과기정통부와 방송통신위원회가 긴밀하게 망 이용대가 가이드라인을 준비 중이라며 연말까지 만들겠다고 밝혔다. 5G를 계기로 망 이용대가 불공정을 바로잡아야 한다는 박선숙 바른미래당 의원 지적에 이같이 응답했다. 박 의원은 “5G는 울트라 슈퍼 하이웨이인데 구글과 페이스북 등 외국계 CP 무임승차 우려가 높다”면서 “국정감사 이전에 통신사와 CP 간 망 이용료 가이드라인을 보고해 달라”고 주문했다. 방통위 업무보고에서도 망 이용대가 공정성을 확보방안 질의가 이어졌다. 이효성 위원장은 “7월 25일 페이스북이 제기한 소송에 대한 첫 판결이 나온다”면서 “개인적으로 세기의 재판이라고 생각한다”고 말했다. 그는 “방통위가 승소하면 글로벌 기업을 규제하고 기울어진 운동장을 해소하는데 도움이 될 것이고, 만약에 이기지 못한다하더라도 어떤 규제를 법적으로 도입해야 할 지 도움이 될 것으로 생각한다”고 덧붙였다.",4,,,전자신문
"정부-통신사, 통신구 테러 상황 실전 점검···'이상 무'","정부와 통신사가 실전 상황을 가정, 통신재난 대응태세를 점검했다.과학기술정보통신부는 3일 KT, SK텔레콤, LG유플러스와 KT혜화국사에서 통신구 테러 상황에 대비한 통신재난 대응훈련을 실시했다.훈련은 재난 발생 시 통신망 이원화와 긴급 우회망 활용, 통신사 협조체계 확보, 이용자보호 조치 등 정부가 수립한 '통신재난 대응계획'이 현장에서 제대로 작동하는지 점검하기 위해 실시됐다.",5,,,전자신문
'남북 ICT 교류협력 활성화 방안 세미나' 개최,"한국정보통신공사협회가 정보통신산업연구원, 국회의원 연구단체 '통일을 넘어 유라시아로'(공동대표 노웅래·홍문표 의원)와 함께 'ICT 교류협력 활성화 방안 정책세미나'를 7월 10일 국회도서관 강당에서 개최한다.세미나에서는 판문점 북미정상회동을 기점으로 재개될 남북교류협력에 있어 정보통신기술(ICT) 교류협력 활성화 방안을 논의할 예정이다. 정부·국회·통신사업자 등 각 분야 전문가가 발제 및 토론패널로 참석한다.",4,,,전자신문
"SK텔레콤, 5G 단독모드 통신 성공···내년 상반기 상용화","SK텔레콤이 삼성전자와 5세대(5G) 이동통신 단독모드(SA, 스탠드얼론) 패킷 교환기와 코어 장비를 연동한 데이터 통신에 성공했다. 5G SA는 롱텀에벌루션(LTE48)을 혼합해 사용하는 비단독모드(NSA331, 논스탠드얼론)와 달리 순수 5G 장비만으로 구성, 최고 20Gbps 등 성능을 극대화한다. SA는 NSA 대비 데이터 처리 효율이 세 배 높다. 대규모 트래픽을 효율적으로 처리할 수 있고 증강현실(AR)·가상현실409(VR)·자율주행·스마트팩토리575·스마트팜 등 5G 서비스에 최적 통신 성능을 제공할 수 있다. 양사는 실제 고객 대상 서비스와 동일한 환경에서 데이터가 정상 송수신됨을 확인했다. 5G SA 코어 네트워크의 구조적 완결성을 확인, 5G SA 상용화에 한걸음 다가서게 됐다고 밝혔다.",5,,,전자신문
"이통사, 5G 첫번째 성적표는···마케팅 경쟁에 2분기 영업이익 동반하락 예상","2분기 이동통신 3사 매출이 증가했지만, 영업이익은 큰 폭으로 동반하락할 전망이다. 5G 투자와 마케팅 경쟁이 가열된 결과다. 에프엔가이드에 따르면, SK텔레콤·KT·LG유플러스 2분기 예상 매출 합계는 13조3709억원으로 지난해 같은 기간에 비해 3.3% 증가할 전망이다. 반면에 영업이익 합계는 8870억원으로 7.3% 감소할 것으로 예상됐다. SK텔레콤 2분기 매출은 4조3869억원으로 지난해에 비해 5.6% 증가할 것으로 추정됐지만 영업이익은 3303억원으로 4.8% 감소할 전망이다.",2,,,전자신문
글로벌 5G 리더는...'MWC19 상하이'서 사흘간 기술 경쟁,"아시아 최대 모바일 전시회 'MWC19 상하이'가 26일(현지시간) 중국 상하이 신국제엑스포센터(SNIEC)에서 개막한다. 'MWC19 바르셀로나' 아시아판 MWC19 상하이에는 세계 105개국 550개 기업이 참가, 사흘간 첨단 기술 향연을 펼친다. 2008년 이래 12회째를 맞는 올해는 관람객 6만명 이상이 전시장을 찾을 전망이다. 올해 주제는 '지능형 연결(Intelligent Connectivity)'이다. 5세대(5G) 이동통신, 사물인터넷(IoT) 등 통신 기술이 인공지능(AI), 자동화 소프트웨어(SW)와 결합해 일구는 산업 혁신과 미래 삶의 모습을 제시한다.",6,,,전자신문
"'월드 베스트 5G 코리아 목표로 민관, 하이파이브'…5G+ 전략위원회 가동","'5G플러스(5G+) 전략' 최고 의사결정 기구인 '5G+ 전략위원회'가 출범했다.   '월드 베스455트 5G 코리아'를 목표로 역량을 결집하고 효과적 5G+ 전략 실행 방안을 도출한다.   민·관 합동 범국가적 추진 체계 완성으로 5세대(5G) 통신 기반 혁신에 탄력이 붙을 것으로 전망된다.   정부는 민·관 합동 5G+ 전략위원회(이하 전략위)를 구성, 19일 첫 회의를 개최했다.   전략위는 유영민 과학기술정보통신부 장관과 김태유 서울대 명예교수를 공동위원장으로 하고, 9개 관계부처 차관(정부위원)과 13명 민간 전문가(민간위원) 등 총 24명으로 구성했다. 정부와 민간 위원은 글로벌 5G 시장 선도 필요성에 공감하고, 5G+ 전략 실행에 협력할 것을 다짐했다.   2026년 5G+ 전략산업 생산액 180조원(세계 시장 15% 점유), 수출 730억원 달성이라는 목표 이행을 위한 신호탄이다. 유영민 과기정통부 장관은 “세계 최초 5G가 세계 최고 5G를 보장하지 않는다”면서 “정부가 4월 8일 5G+ 전략을 수립했지만 정부 노력만으론 결실을 맺기가 어렵다”며 민·관 역량 결집의 당위성을 역설했다.",5,,,전자신문
"[이슈분석]이통사, 5G 네트워크 남하정책..수도권-지방 격차 줄인다","SK텔레콤과 KT, LG유플러스의 초반 5G 네트워크 구축 경쟁이 가열되고 있다. 이동통신 3사는 경쟁적으로 월 평균 2만개가량 기지국 장치를 신규 구축하고 있다. 현재 추세라면 연내 23만개 구축 목표를 상회할 것으로 예측된다. 본지가 입수한 '과학기술정보통신부 5월 22일 현재 통신 3사 5G 기지국 및 기지국장치 신고현황'에 따르면 KT가 초반 선두권을 유지하면서 새로운 경쟁구도가 형성되고 있다. 수도권·지역 간 격차 또한 상당부분 줄고 있는 것으로 나타났다.",7,,,전자신문
한-캐나다 전자파 적합성평가 상호인정협정(MRA) 2단계 발효,"o 캐나다에 방송통신 기자재 등을 수출하는 기업은 제품 적합성평가(전파인증)를 국내에서 받을 수 있게 된다. 캐나다와 방송통신기자재등의 적합성평가에 대한 2단계 상호인정협정(MRA)이 15일 발효된다. 전파시험인증센터208가 캐나다 인증업무를 수행한다. 과기정통부는 캐나다 인증 신청 절차, 유의 사항 등 인증 신청 시 필요한 정보 등을 국립전파연구원 홈페이지에서 지속 안내할 예정이다. 방송통신기자재 등은 다른 기기·인체에 전자파로 인한 영향을 줄 수 있어 기술기준 적합여부를 확인하는 적합성평가를 받아야 한다. 국가 간 상호인정협정을 체결하면 수출할 제품의 적합성평가를 해외에서 진행할 필요 없이 자국 내에서 받는 것이 가능해진다. 과기정통부는 국내 수출기업이 해외에서 적합성평가를 받아야 하는 불편과 비용부담을 완화하기 위해 국가 간 상호인정을 지속적으로 추진해왔다.",1,,,전자신문
"SK텔레콤, 노키아·에릭슨과 5G·6G 진화 맞손","o SK텔레콤이 노키아·에릭슨과 5세대(5G) 및 6세대(6G) 이동통신 연구개발(R&D) 협력 양해각서(MOU)를 교환했다. 우선, SK텔레콤은 노키아·에릭슨과 5G 기술을 고도화한다. SK텔레콤은 양사와 초고신뢰·저지연 통신(URLLC), 안테나 분산형 다중 안테나 기술(Distributed MIMO60), 인공지능(AI) 기반 망 고도화, 28㎓ 차별화, 5G 스탠드얼론(SA) 망 진화 등을 연구하고 상용망에 적용·검증하기로 했다. 6G에 대한 공동 R&D도 추진한다. 6G는 향후 어떤 기술로 구현될 지 정확한 정의가 내려지지 않았고 표준도 정해지지 않은 만큼 관련 기업 간의 협력이 중요하다.",4,,,전자신문
"KMW, 노키아와 5G 기술협력···해외 공동진출","KMW(대표 김덕용)가 노키아와 5세대(5G) 이동통신 기술협력 및 공동해외진출을 위한 양해각서(MOU)를 교환했다고 11일 밝혔다. 앞서 KMW는 노키아와 대용량 다중입출력장치(Massive MIMO60)를 공동 개발했다. 전파를 한 곳으로 집중해 신호 세기를 강화하는 '빔포밍' 기능을 제공하기 위해 다수 안테나를 결합한 다중입력, 다중출력 장치다. 대용량 전송을 위한 5G 필수 기술이다. 양사는 2016년부터 공동으로 기술개발에 착수하고 지난해 상용 제품을 출시했다. 올해 세계 최초 5G 서비스를 출시한 국내 이동통신 3사에 공급했다. MOU를 계기로 KMW 해외시장 진출이 힘을 얻게 됐다. 노키아가 공급 계약을 체결한 지역은 물론이고 5G 상용화를 모색 중인 국가에 공동개발 장비를 소개할 예정이다. KMW는 핀란드에서 개최 중인 한국-핀란드 비즈니스 포럼에 참가해 5G 무선장비를 전시 중이다.",3,,,전자신문
한·중 “5G 주파수 확보 공동 대응”,"우리나라와 중국이 5세대(5G) 이동통신 추가 주파수 확보 공동 대응 등 전파 관련 협력을 지속하기로 합의했다. 과학기술정보통신부는 제10차 한·중 전파국장회의에서 중국 공업정보화부와 5세대(5G) 이동통신 주파수 수요 폭증에 대비, 5G 추가 주파수 확보를 위한 공동 협력을 약속했다고 11일 밝혔다. 또 간헐적으로 발생하는 전파 간섭 문제에 신속하게 대응할 수 있는 체계를 구축하기 위해 상호 연락수단을 명확히 하고 향후 잠재적인 주파수 조정 문제에 대해서도 협력하기로 했다고 덧붙였다. 과기정통부와 중국 공업정보화부는 11월 열리는 세계전파통신회의90(WRC-19)에서 논의될 관련 의제에 대한 의견을 교환, 5G 추가 주파수 확보에 성과를 거둘 수 있도록 협력을 다짐했다. 아울러 차기 회의를 2020년 한국에서 개최하기로 합의했다.",1,,,전자신문
"한국, 핀란드와 6G 공동개발···차세대 이동통신 동맹 강화","우리나라가 핀란드와 6세대(G) 이동통신 기술을 공동 개발한다. 5G, 인공지능(AI), 빅데이터78 등 4차 산업혁명 분야에서 포괄적 협력을 강화한다. 과학기술정보통신부, 한국전자통신연구원(ETRI), 핀란드 오울루대는 10일(현지시간) 6G 이통 기술협력 및 공동연구를 위한 양해각서(MOU)를 교환했다. 이날 업무협약은 전날 문재인 대통령과 사울리 니니스퇴 핀란드 대통령 정상 회담에서 이뤄진 차세대 통신 협력 MOU에 따른 후속 조치다. 양국은 △6G 무선접속·네트워크 기술 △5G와 비욘드5G(B5G·5G 업그레이드 기술) 이통 기술 △B5G, 6G 이통 기술 홍보 △이외 합의된 다른 통신 기술 영역에서 연구개발(R&D) 협력을 추진한다. 6G 연구를 세계에서 가장 먼저 시작한 양국은 서비스 기본 개념과 연구 과제를 공동 도출할 계획이다. 세계적으로 초기 단계인 B5G·6G 연구 성과를 공유하는 정기 교류회를 개최하고, ETRI가 시작한 B5G·6G 사업과 오울루대 '6지니어스' 프로젝트 간 공동 참여 기회를 모색한다.",3,,,전자신문
5G 데이터 트래픽 얼마 LTE 3배 돌파···실감 미디어 효과,"5G 가입자 평균 데이터사용량이 LTE48 3배를 초과한 것으로 나타났다. 불과 2개월간 통계치다. SK텔레콤과 KT, LG유플러스가 '아태지역 5G 최고경영자 회의(APAC 5G 리더 CxO 서밋)' 비공개회의에서 이 같은 내용의 5G 데이터트래픽 현황을 글로벌 이통사와 공유한 것으로 확인됐다.  LG유플러스는 5G 가입자 일평균 데이터사용량이 1.3GB로, 400MB인 LTE 가입자 세 배를 초과했다고 밝혔다.  5G 데이터 트래픽 폭증은 가상·증강현실(VR409·AR) 등 실감 미디어가 견인했다. 5G 가입자 데이터트래픽 중 AR·VR 콘텐츠 비중은 20%를 넘었다. LTE 시절에는 실감미디어가 차지하는 비중은 5%에 불과했다.   5G 서비스 초기 VR 단말기와 콘텐츠를 제공하고 마케팅을 집중한 효과가 실질적인 데이터트래픽 증가로 이어졌다.  KT는 정확한 5G 가입자 데이터트래픽을 공개하진 않았지만 LTE 세 배 이상이라는 점을 확인했다. SK텔레콤은 데이터 트래픽이 상당히 증가한 것은 맞지만, 정확한 측정량을 공개하는 것에 대해서는 신중한 입장을 견지했다.  이 같은 5G 가입자 데이터트래픽은 5G와 LTE 데이터가 혼재한 상태에서 측정됐다.",1,,,전자신문
"[국제]삼성전자, 5G 통신장비 시장 점유율 1위","삼성전자가 5G 장비 시장에서 화웨이를 제치고 선두에 올랐다. 미국의 화웨이 제재가 심화됨에 따라 추가 점유율 확대도 기대된다.  미국 이동통신장비 시장분석업체 델오로(Dell'Oro)에 따르면 삼성전자는 지난해 4분기와 올해 1분기 합계 5G 통신장비 매출 점유율 37%로 1위를 차지했다. 화웨이(28%), 에릭슨(27%), 노키아(8%)가 뒤를 이었다.  지난해 연간 전체 통신장비 시장에서 삼성전자 점유율은 6.6%다. 화웨이가 31%로 선두를 유지하는 동안 에릭슨(29.2%), 노키아(23.3%), ZTE(7.4%)에 이어 5위에 머물렀다. 델오로는 1분기까지 전 세계 5G투자 가운데 아시아·태평양 지역이 70% 이상을 차지한다고 밝혔다. 세계 최초 상용화 경쟁을 펼친 한국과 미국을 중심으로 5G 투자가 이뤄졌고 화웨이에 대한 견제가 이뤄지는 동안 삼성전자가 선전했다는 분석이다. 삼성전자는 국내 이동통신 3사와 미국 버라이즌, AT&T, 스프린트 등과 5G 장비 공급 계약을 체결했다.  일본 주요 통신사업자와도 9월 5G 시범 서비스를 준비 중인 것으로 알려졌다. 이재용 삼성전자 부회장은 최근 일본을 방문, NTT도코모와 KDDI 등 일본 이통사 경영진과 5G 사업 협력 방안을 논의했다.",1,,,한국방송통신전파진흥원
"과기정통부, 전파정책자문회의 발족 ""5G 주파수 추가 확보 등 논의""","과학기술정보통신부가 전파정책자문위원회를 가동한다.  과기정통부는 30일 법률, 행정, 경제, 기술 등 각계 전문가 20명이 참여하는 전파정책자문회의를 발족하고 1차 회의를 가졌다. 회의는 격월 주기로 지속 운영된다. 전파정책자문회의는 △중장기 전파 관련 정책 수립 △전파법령 개정 △전파 관련 기술·서비스 고도 △안전한 전자파 환경 등 주요 추진 사항에 대한 자문 역할을 수행한다. 제1차 전파정책자문회의에서는 세부 운영방안을 협의하고 제3차 전파진흥기본계획을 바탕으로 주요 전파정책에 대한 다양한 의견을 교환했다.  박윤규 과기정통부 전파정책국장은 “5G 상용화 이후 전파 제도의 전면적인 개편과 5G+ 전략 후속으로 5G 주파수 추가 확보, 융합서비스 주파수 발굴 등 굵직한 현안이 산적해 있다”며 “전문가 의견을 반영해 내실 있는 정책을 추진할 계획”이라고 말했다.",3,,,전자신문
[이슈분석]이통3사 2G~LTE 주파수 보유 현황은,"2021년 재할당 대상 주파수는 총 330㎒ 폭이다. 이동통신 3사는 현재 330㎒ 폭을 2G·3G 이동통신과, 롱텀에벌루션(LTE48) 용도로 사용하고 있다.  SK텔레콤은 총 165㎒ 폭으로 가장 넓은 대역폭을 보유하고 있다. 800㎒대역 30㎒ 폭, 1.8㎓대역 35㎒ 폭, 2.1㎓대역 40㎒ 폭, 2.6㎓ 대역에서 60㎒ 폭을 보유했다. SK텔레콤은 이 중 145㎒ 폭을 LTE에 할애하고 있다. SK텔레콤이 보유한 대역폭 중 2026년에 만료가 도래하는 2.6㎓ 대역을 제외한 총 105㎒ 폭은 모두 2021년 사용이 만료된다. KT는 총 125㎒ 폭을 사용 중이다. 각각 800㎒ 대역에서 10㎒ 폭, 900㎒ 대역 20㎒ 폭, 1.8㎓ 대역 55㎒ 폭, 2.1㎓ 대역 40㎒ 폭을 가지고 있다.  KT는 125㎒ 폭 중 LTE 서비스에 115㎒ 폭을 활용 중이다. 2026년 만료되는 1.8㎓ 대역 20㎒ 폭을 제외한 105㎒가 재할당 대상이다.",5,,,전자신문
과기정통부 '정보통신안전법' 시동···ICT재난 대응법률 일원화,"과학기술정보통신부가 '정보통신안전법(가칭)' 제정을 추진한다. 정보통신기술(ICT) 법률에 산재된 인프라 안전 관련 규정을 통합, 5G 시대에 부합하는 효과적 재난안전 관리체계를 확립한다.  과기정통부는 정보통신정책연구원(KISDI)과 정보통신안전법 제정을 위한 정책 연구에 착수했다.  정보통신안전법 제정은 안전한 방송통신 인프라 확립을 목표로 인프라의 물리적 침해와 사이버 안전 분야 등 전반에 대해 일관된 대응체계를 갖추도록 하는 게 목표다. 방송통신발전기본법(방발기본법)과 전파법, 전기통신사업법, 정보통신망법, 정보통신기반보호법 등에 포함된 안전 관리 규정을 포괄하는 통합 방안을 마련할 방침이다. 현행 법률상 방송통신재난관리 기본계획은 방송통신발전기본법에 근거해 수립하고, 우주 전파 또는 GPS 교란 대응은 전파법이 다루도록 돼 있다.",1,,,전자신문
”망 이용대가 차별은 전기통신사업법 위반 소지”,구글과 넷플릭스 등 글로벌 기업의 '공짜' 망 이용대가 관행이 전기통신사업법 위반이라는 주장이 제기됐다. 망 이용대가 차별 논란이 기업간 거래 관계를 넘어 전기통신사업법과 공정거래법 등 법률 위반 문제로 확산되고 있다. 미디어미래연구소는 '인터넷전용회선 및 IDC 요금에 대한 사후규제 방안 연구'에서 이 같은 연구결과를 제시했다.,1,,,전자신문
한-캐나다 적합성평가 상호인정협정 2단계 설명회 개최,과학기술정보통신부가 한-캐나다 간 방송통신기자재 등의 적합성평가 2단계 상호인정협정(MRA) 시행(6월15일)을 앞두고 28일 서울 삼성동 코엑스에서 설명회를 개최한다.상호인정협정은 해외 수출 시 전자파 적합성평가 시험과 인증을 국내에서 받고 이를 외국이 인정하는 것으로 국내 기업 불편과 비용부담이 경감될 전망이다.,1,,,전자신문
"과학기술정보통신부, 재난자막 송출 훈련 최초 실시","과학기술정보통신부는 을지태극연습 첫날인 27일 정부과천청사에서 리히터 규모 6.9의 지진 발생으로 이동통신사업자 시설이 붕괴돼 전국에 통신 장애가 발생했다는 상황을 가정, 96개 유료방송사업자 대상으로 운용하고 있는 모든 가용 채널에 대해 재난 자막 송출 훈련을 최초로 실시했다.",2,,,전자신문
"과기정통부, 27일 재난방송 자막 송출 훈련","과학기술정보통신부가 27일 재난자막 송출 훈련을 최초로 실시한다.과기정통부는 27일 10시 15분, 6.9 규모 지진 발생으로 이동통신사업자 시설이 붕괴돼 전국적으로 통신장애가 발생했다는 상황을 가정하고 96개 유료방송 사업자를 통해 재난자막을 송출한다. 훈련에는 종합유선방송사업자(92개), IPTV사업자(3개) 위성방송사업자(1개) 등 모든 유료방송사업자가 참여한다.",2,,,전자신문
"KT·LG유플러스, 백본망 구축 사업서 화웨이 장비 제외",KT와 LG유플러스가 신규 백본망(기간망) 구축 사업에서 화웨이 통신장비를 제외한 것으로 확인됐다. 미국이 세계 각국에 '탈 화웨이' 동참을 요구하는 상황인 만큼 국내 통신사업자의 화웨이 배제 결정에 눈과 귀가 쏠리고 있다. 농협이 1200억원 규모의 전국 유선통신망 사업에서 화웨이를 배제할 움직임을 보인 직후여서 이 같은 흐름이 통신 외 다른 분야로 확산될 지 주목된다. KT는 전국 백본망 신규 구축 사업자로 인피네라를 선정하고 6월 전후로 구축 작업에 착수한다. 기존 백본망 운영사업자인 화웨이를 배제하고 미국 사업자를 선택했다. 인피네라는 2015년 전후 한국 시장 진출을 모색하다 이번 KT 백본망 구축 사업자로 전격 선정됐다.,2,,,전자신문
5G 망중립성 연구반 만든다,"정부가 5G 망중립성 문제를 논의할 연구반을 만들고 연내 결론을 내기로 했다. 통신사업자 5G 서비스와 연말 발표될 네트워크 슬라이싱 국제표준이 변수로 작용할 전망이다. 제로레이팅은 사후규제로 가닥을 잡으면서 활성화 가능성이 커졌다.과학기술정보통신부는 지난해 9월 출범한 5G 통신정책협의회를 마무리하고 이 같은 내용을 담은 최종보고서를 발표했다. 최대 현안이었던 5G 네트워크 슬라이싱 기술의 관리형서비스 허용 문제는 결론을 유보하고 전문가로 구성된 연구반을 통해 논의를 이어가기로 했다. '망중립성 기존 원칙을 유지하되, 5G 발전을 저해하지 않는다'라는 기본 원칙을 확립했다.",3,,,전자신문
